Filter1;Start1;End1;Filter2;Start2;End2;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;MileStone;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;Impact;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;SkyWalker;2023-02-19T04:00:00Z;2023-02-19T06:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;ADVA;2023-02-19T04:00:00Z;2023-02-19T06:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;SDH;2023-02-19T04:00:00Z;2023-02-19T06:00:00Z;;;
EMMA;2023-02-27T11:00:00Z;2023-02-27T13:00:00Z;CA_Spectrum;2023-02-27T05:00:00Z;2023-02-27T14:00:00Z;;;
EMMA;2023-02-27T11:00:00Z;2023-02-27T13:00:00Z;SCOM;2023-02-27T08:00:00Z;2023-02-27T11:00:00Z;;;
EMMA;2023-02-27T11:00:00Z;2023-02-27T13:00:00Z;StruxureWare;2023-02-27T09:00:00Z;2023-02-27T12:00:00Z;;;
EMMA;2023-02-27T11:00:00Z;2023-02-27T13:00:00Z;LucentOMS;2023-02-27T09:00:00Z;2023-02-27T13:00:00Z;;;
EMMA;2023-02-27T11:00:00Z;2023-02-27T13:00:00Z;NetAct;2023-02-27T09:00:00Z;2023-02-27T13:00:00Z;;;
EMMA;2023-02-27T11:00:00Z;2023-02-27T13:00:00Z;MileStone;2023-02-27T10:00:00Z;2023-02-27T13:00:00Z;;;
EMMA;2023-02-27T11:00:00Z;2023-02-27T13:00:00Z;NFM-P;2023-02-27T10:00:00Z;2023-02-27T13:00:00Z;;;
EMMA;2023-02-27T11:00:00Z;2023-02-27T13:00:00Z;EML;2023-02-27T10:00:00Z;2023-02-27T14:00:00Z;;;
EMMA;2023-02-27T11:00:00Z;2023-02-27T13:00:00Z;SDH;2023-02-27T11:00:00Z;2023-02-27T18:00:00Z;;;
EMMA;2023-02-27T11:00:00Z;2023-02-27T13:00:00Z;Stonebranch;2023-02-27T13:00:00Z;2023-02-27T15:00:00Z;;;
EMMA;2023-02-27T14:00:00Z;2023-02-27T16:00:00Z;CA_Spectrum;2023-02-27T05:00:00Z;2023-02-27T14:00:00Z;;;
EMMA;2023-02-27T14:00:00Z;2023-02-27T16:00:00Z;EML;2023-02-27T10:00:00Z;2023-02-27T14:00:00Z;;;
EMMA;2023-02-27T14:00:00Z;2023-02-27T16:00:00Z;SDH;2023-02-27T11:00:00Z;2023-02-27T18:00:00Z;;;
EMMA;2023-02-27T14:00:00Z;2023-02-27T16:00:00Z;Stonebranch;2023-02-27T13:00:00Z;2023-02-27T15:00:00Z;;;
EMMA;2023-02-27T14:00:00Z;2023-02-27T16:00:00Z;NFM-P;2023-02-27T14:00:00Z;2023-02-27T16:00:00Z;;;
EMMA;2023-02-27T14:00:00Z;2023-02-27T16:00:00Z;Zabbix;2023-02-27T14:00:00Z;2023-02-27T17:00:00Z;;;
EMMA;2023-02-27T14:00:00Z;2023-02-27T16:00:00Z;SCOM;2023-02-27T15:00:00Z;2023-02-27T17:00:00Z;;;
EMMA;2023-02-27T14:00:00Z;2023-02-27T16:00:00Z;DICA;2023-02-27T15:00:00Z;2023-02-27T18:00:00Z;;;
EMMA;2023-02-27T14:00:00Z;2023-02-27T16:00:00Z;LucentOMS;2023-02-27T16:00:00Z;2023-02-27T20:00:00Z;;;
EMMA;2023-02-27T14:00:00Z;2023-02-27T16:00:00Z;NetAct;2023-02-27T16:00:00Z;2023-02-27T20:00:00Z;;;
EMMA;2023-02-27T14:00:00Z;2023-02-27T16:00:00Z;EML;2023-02-27T16:00:00Z;2023-02-27T21:00:00Z;;;
EMMA;2023-02-28T10:00:00Z;2023-02-28T13:00:00Z;Zabbix;2023-02-28T08:00:00Z;2023-02-28T11:00:00Z;;;
EMMA;2023-02-28T10:00:00Z;2023-02-28T13:00:00Z;SCOM;2023-02-28T08:00:00Z;2023-02-28T13:00:00Z;;;
EMMA;2023-02-28T10:00:00Z;2023-02-28T13:00:00Z;CA_Spectrum;2023-02-28T08:00:00Z;2023-02-28T13:00:00Z;;;
EMMA;2023-02-28T10:00:00Z;2023-02-28T13:00:00Z;LucentOMS;2023-02-28T08:00:00Z;2023-02-28T15:00:00Z;;;
EMMA;2023-02-28T10:00:00Z;2023-02-28T13:00:00Z;NFM-P;2023-02-28T09:00:00Z;2023-02-28T12:00:00Z;;;
EMMA;2023-02-28T10:00:00Z;2023-02-28T13:00:00Z;NetAct;2023-02-28T09:00:00Z;2023-02-28T13:00:00Z;;;
EMMA;2023-02-28T10:00:00Z;2023-02-28T13:00:00Z;EML;2023-02-28T09:00:00Z;2023-02-28T15:00:00Z;;;
EMMA;2023-02-28T10:00:00Z;2023-02-28T13:00:00Z;SDH;2023-02-28T09:00:00Z;2023-02-28T15:00:00Z;;;
EMMA;2023-02-28T10:00:00Z;2023-02-28T13:00:00Z;UNEM;2023-02-28T10:00:00Z;2023-02-28T12:00:00Z;;;
EMMA;2023-02-28T10:00:00Z;2023-02-28T13:00:00Z;MileStone;2023-02-28T10:00:00Z;2023-02-28T12:00:00Z;;;
EMMA;2023-02-28T10:00:00Z;2023-02-28T13:00:00Z;SkyWalker;2023-02-28T10:00:00Z;2023-02-28T14:00:00Z;;;
EMMA;2023-02-28T10:00:00Z;2023-02-28T13:00:00Z;StruxureWare;2023-02-28T11:00:00Z;2023-02-28T14:00:00Z;;;
EMMA;2023-02-28T10:00:00Z;2023-02-28T13:00:00Z;HA;2023-02-28T12:00:00Z;2023-02-28T14:00:00Z;;;
EMMA;2023-02-28T10:00:00Z;2023-02-28T13:00:00Z;DICA;2023-02-28T13:00:00Z;2023-02-28T17:00:00Z;;;
EMMA;2023-02-28T10:00:00Z;2023-02-28T13:00:00Z;NFM-P;2023-02-28T13:00:00Z;2023-02-28T17:00:00Z;;;
EMMA;2023-03-03T10:00:00Z;2023-03-03T12:00:00Z;DICA;2023-03-03T05:00:00Z;2023-03-03T11:00:00Z;;;
EMMA;2023-03-03T10:00:00Z;2023-03-03T12:00:00Z;Zabbix;2023-03-03T08:00:00Z;2023-03-03T10:00:00Z;;;
EMMA;2023-03-03T10:00:00Z;2023-03-03T12:00:00Z;StruxureWare;2023-03-03T08:00:00Z;2023-03-03T12:00:00Z;;;
EMMA;2023-03-03T10:00:00Z;2023-03-03T12:00:00Z;SCOM;2023-03-03T08:00:00Z;2023-03-03T14:00:00Z;;;
EMMA;2023-03-03T10:00:00Z;2023-03-03T12:00:00Z;EML;2023-03-03T09:00:00Z;2023-03-03T16:00:00Z;;;
EMMA;2023-03-03T10:00:00Z;2023-03-03T12:00:00Z;LucentOMS;2023-03-03T09:00:00Z;2023-03-03T17:00:00Z;;;
EMMA;2023-03-03T10:00:00Z;2023-03-03T12:00:00Z;SCADA;2023-03-03T10:00:00Z;2023-03-03T12:00:00Z;;;
EMMA;2023-03-03T10:00:00Z;2023-03-03T12:00:00Z;NetAct;2023-03-03T10:00:00Z;2023-03-03T12:00:00Z;;;
EMMA;2023-03-03T10:00:00Z;2023-03-03T12:00:00Z;CA_Spectrum;2023-03-03T10:00:00Z;2023-03-03T14:00:00Z;;;
EMMA;2023-03-03T10:00:00Z;2023-03-03T12:00:00Z;NFM-P;2023-03-03T11:00:00Z;2023-03-03T13:00:00Z;;;
EMMA;2023-03-03T10:00:00Z;2023-03-03T12:00:00Z;Zabbix;2023-03-03T12:00:00Z;2023-03-03T14:00:00Z;;;
EMMA;2023-03-03T10:00:00Z;2023-03-03T12:00:00Z;MileStone;2023-03-03T12:00:00Z;2023-03-03T14:00:00Z;;;
EMMA;2023-03-03T10:00:00Z;2023-03-03T12:00:00Z;Impact;2023-03-03T12:00:00Z;2023-03-03T14:00:00Z;;;
EMMA;2023-03-05T02:00:00Z;2023-03-05T04:00:00Z;NetAct;2023-03-04T22:00:00Z;2023-03-05T02:00:00Z;;;
EMMA;2023-03-05T02:00:00Z;2023-03-05T04:00:00Z;EML;2023-03-04T22:00:00Z;2023-03-05T02:00:00Z;;;
EMMA;2023-03-05T02:00:00Z;2023-03-05T04:00:00Z;LucentOMS;2023-03-04T22:00:00Z;2023-03-05T05:00:00Z;;;
EMMA;2023-03-05T02:00:00Z;2023-03-05T04:00:00Z;HA;2023-03-05T00:00:00Z;2023-03-05T02:00:00Z;;;
EMMA;2023-03-05T02:00:00Z;2023-03-05T04:00:00Z;Zabbix;2023-03-05T00:00:00Z;2023-03-05T06:00:00Z;;;
EMMA;2023-03-05T02:00:00Z;2023-03-05T04:00:00Z;C-NMS;2023-03-05T01:00:00Z;2023-03-05T03:00:00Z;;;
EMMA;2023-03-05T02:00:00Z;2023-03-05T04:00:00Z;MileStone;2023-03-05T01:00:00Z;2023-03-05T03:00:00Z;;;
EMMA;2023-03-05T02:00:00Z;2023-03-05T04:00:00Z;Ping;2023-03-05T01:00:00Z;2023-03-05T03:00:00Z;;;
EMMA;2023-03-05T02:00:00Z;2023-03-05T04:00:00Z;StruxureWare;2023-03-05T01:00:00Z;2023-03-05T03:00:00Z;;;
EMMA;2023-03-05T02:00:00Z;2023-03-05T04:00:00Z;C-NMS;2023-03-05T04:00:00Z;2023-03-05T06:00:00Z;;;
EMMA;2023-03-14T01:00:00Z;2023-03-14T03:00:00Z;CA_Spectrum;2023-03-13T23:00:00Z;2023-03-14T01:00:00Z;;;
EMMA;2023-03-14T01:00:00Z;2023-03-14T03:00:00Z;NetAct;2023-03-13T23:00:00Z;2023-03-14T03:00:00Z;;;
EMMA;2023-03-14T01:00:00Z;2023-03-14T03:00:00Z;SCOM;2023-03-14T00:00:00Z;2023-03-14T02:00:00Z;;;
EMMA;2023-03-14T01:00:00Z;2023-03-14T03:00:00Z;Zabbix;2023-03-14T00:00:00Z;2023-03-14T02:00:00Z;;;
EMMA;2023-03-14T01:00:00Z;2023-03-14T03:00:00Z;HA;2023-03-14T00:00:00Z;2023-03-14T02:00:00Z;;;
EMMA;2023-03-14T01:00:00Z;2023-03-14T03:00:00Z;SCADA;2023-03-14T00:00:00Z;2023-03-14T02:00:00Z;;;
EMMA;2023-03-14T01:00:00Z;2023-03-14T03:00:00Z;StruxureWare;2023-03-14T00:00:00Z;2023-03-14T02:00:00Z;;;
EMMA;2023-03-14T01:00:00Z;2023-03-14T03:00:00Z;C-NMS;2023-03-14T01:00:00Z;2023-03-14T03:00:00Z;;;
EMMA;2023-03-14T01:00:00Z;2023-03-14T03:00:00Z;Stonebranch;2023-03-14T01:00:00Z;2023-03-14T05:00:00Z;;;
EMMA;2023-03-15T11:00:00Z;2023-03-15T13:00:00Z;CA_Spectrum;2023-03-15T06:00:00Z;2023-03-15T12:00:00Z;;;
EMMA;2023-03-15T11:00:00Z;2023-03-15T13:00:00Z;SDH;2023-03-15T09:00:00Z;2023-03-15T11:00:00Z;;;
EMMA;2023-03-15T11:00:00Z;2023-03-15T13:00:00Z;StruxureWare;2023-03-15T09:00:00Z;2023-03-15T12:00:00Z;;;
