"Filter1","Start1","End1","Filter2","Start2","End2"
"EMMA",2024-02-21 10:00:00,2024-02-21 12:00:00,"StruxureWare",2024-02-21 10:00:00,2024-02-21 12:00:00
"EMMA",2024-02-21 10:00:00,2024-02-21 12:00:00,"Zabbix",2024-02-21 10:00:00,2024-02-21 14:00:00
"EMMA",2024-02-21 10:00:00,2024-02-21 12:00:00,"HA",2024-02-21 10:00:00,2024-02-21 14:00:00
"EMMA",2024-02-21 10:00:00,2024-02-21 12:00:00,"local6",2024-02-21 11:00:00,2024-02-21 13:00:00
"EMMA",2024-02-21 10:00:00,2024-02-21 12:00:00,"WebSphere-MQ",2024-02-21 11:00:00,2024-02-21 13:00:00
"EMMA",2024-02-21 10:00:00,2024-02-21 12:00:00,"NFM-P",2024-02-21 11:00:00,2024-02-21 14:00:00
"EMMA",2024-02-21 06:00:00,2024-02-21 08:00:00,"C-NMS",2024-02-20 23:00:00,2024-02-21 06:00:00
"EMMA",2024-02-21 06:00:00,2024-02-21 08:00:00,"SCOM",2024-02-21 05:00:00,2024-02-21 07:00:00
"EMMA",2024-02-21 06:00:00,2024-02-21 08:00:00,"HA",2024-02-21 05:00:00,2024-02-21 07:00:00
"EMMA",2024-02-21 06:00:00,2024-02-21 08:00:00,"MileStone",2024-02-21 08:00:00,2024-02-21 12:00:00
"EMMA",2024-02-20 01:00:00,2024-02-20 03:00:00,"Zabbix",2024-02-19 22:00:00,2024-02-20 02:00:00
"EMMA",2024-02-20 01:00:00,2024-02-20 03:00:00,"HA",2024-02-19 22:00:00,2024-02-20 02:00:00
"EMMA",2024-02-20 01:00:00,2024-02-20 03:00:00,"SCOM",2024-02-19 23:00:00,2024-02-20 03:00:00
"EMMA",2024-02-20 01:00:00,2024-02-20 03:00:00,"Stonebranch",2024-02-20 01:00:00,2024-02-20 03:00:00
"EMMA",2024-02-19 14:00:00,2024-02-19 16:00:00,"NetAct",2024-02-19 08:00:00,2024-02-19 14:00:00
"EMMA",2024-02-19 14:00:00,2024-02-19 16:00:00,"LucentOMS",2024-02-19 09:00:00,2024-02-19 15:00:00
"EMMA",2024-02-19 14:00:00,2024-02-19 16:00:00,"DICA",2024-02-19 10:00:00,2024-02-19 14:00:00
"EMMA",2024-02-19 14:00:00,2024-02-19 16:00:00,"MileStone",2024-02-19 10:00:00,2024-02-19 15:00:00
"EMMA",2024-02-19 14:00:00,2024-02-19 16:00:00,"EML",2024-02-19 11:00:00,2024-02-19 15:00:00
"EMMA",2024-02-19 14:00:00,2024-02-19 16:00:00,"SDH",2024-02-19 11:00:00,2024-02-19 15:00:00
"EMMA",2024-02-19 14:00:00,2024-02-19 16:00:00,"C-NMS",2024-02-19 12:00:00,2024-02-19 14:00:00
